,tick,num_streak,streak_start_date,streak_end_date,payout_period,lastest_amount,incremental_percentage
0,DNUT,3,01/25/2022,07/26/2022,3.0,$0.035,0.0
1,OMAB,2,01/14/2022,05/20/2022,2.5,$1.8212125,129.2855713195157
2,OAS,8,05/14/2021,05/31/2022,1.75,$2.94,966.6666666666667
3,RILYG,3,04/13/2022,10/13/2022,3.0,$0.3125,57.89471024931197
4,MSCI,30,02/18/2015,05/12/2022,3.033333333333333,$1.04,52.63157894736841
5,CCOI,39,11/19/2012,05/12/2022,3.0,$0.88,164.28571428571428
6,BRKR,25,06/02/2016,05/31/2022,2.96,$0.05,25.0
7,BSVN,11,12/27/2019,06/21/2022,3.0,$0.12,400.0
8,CNP,2,02/16/2022,05/18/2022,3.0,$0.17,-1.4210854715202004e-14
9,CXDO,1,05/26/2022,05/26/2022,3.0,$0.005,0.0
10,SHW,35,11/13/2013,05/19/2022,3.0,$0.60,31.395348837209298
11,FRT,35,12/30/2013,06/21/2022,3.0,$1.07,11.538461538461533
12,ABC,35,11/14/2013,05/13/2022,3.0,$0.46,23.40425531914893
13,RNST,90,03/23/2000,06/15/2022,3.0,$0.22,6.25
14,MET,35,11/06/2013,05/09/2022,3.0,$0.50,27.272727272727266
15,VLO,35,11/25/2013,05/11/2022,3.0,$0.98,45.45454545454544
16,PDCE,4,09/07/2021,06/08/2022,3.0,$0.35,416.66666666666674
17,HIBB,4,09/08/2021,06/08/2022,2.75,$0.25,0.0
18,MLKN,6,02/25/2021,05/26/2022,3.0,$0.1875,0.0
19,SPGI,25,05/24/2016,05/26/2022,3.0,$0.85,21.951219512195124
20,TOPS,7,03/29/2005,04/12/2006,2.2857142857142856,$2.50,2280.952380952381
21,RILYO,13,10/11/2019,10/13/2022,3.0,$0.421875,7.142857142857139
22,INTU,43,01/06/2012,07/08/2022,3.0,$0.68,31.57894736842104
23,AEP,72,08/06/2004,05/09/2022,3.0,$0.78,9.523809523809533
24,BANR,105,03/27/1996,05/02/2022,3.019047619047619,$0.44,1100.0
25,FRAF,12,08/01/2019,05/05/2022,3.0,$0.32,3.333333333333343
26,BELFA,76,10/10/2003,07/14/2022,3.0,$0.06,50.0
27,DAL,26,11/04/2013,02/19/2020,3.0,$0.403,50.37037037037035
28,USB,36,09/26/2013,06/29/2022,3.0,$0.46,23.333333333333343
29,DHCNI,40,01/11/2013,10/13/2022,3.0,$0.3515625,0.0
30,PEGA,64,09/28/2006,06/30/2022,3.0,$0.03,100.0
31,ED,35,11/08/2013,05/17/2022,3.0,$0.79,3.6231884057971087
32,GPN,35,11/13/2013,06/09/2022,3.0285714285714285,$0.25,1850.0
33,BBGI,25,03/27/2014,03/30/2020,3.0,$0.05,11.111111111111114
34,SPG,8,10/08/2020,06/08/2022,2.875,$1.70,10.0
35,SLGN,19,11/30/2017,05/31/2022,3.0,$0.16,16.666666666666686
36,CHMG,94,03/17/1999,06/16/2022,3.0,$0.31,19.230769230769226
37,GCMG,5,05/28/2021,05/31/2022,3.0,$0.10,33.33333333333334
38,PEBK,20,06/01/2018,06/02/2022,2.55,$0.18,40.0
39,EML,90,02/23/2000,05/12/2022,3.0,$0.11,177.77777777777777
40,PARA,65,06/01/2006,06/14/2022,3.0153846153846153,$0.24,100.0
41,FISI,91,12/15/1999,06/16/2022,3.0,$0.29,25.0
42,WSBC,134,03/13/1989,06/09/2022,3.0,$0.34,11.538461538461519
43,LAND,112,03/13/2013,06/21/2022,1.0,$0.0454,275.0
44,AFL,35,11/18/2013,05/17/2022,3.0,$0.40,21.212121212121204
45,CHK,4,08/23/2021,05/18/2022,3.0,$2.34,304.0
46,CMTL,47,01/19/2011,07/19/2022,3.0,$0.10,10.000000000000014
47,RMR,25,07/20/2016,04/22/2022,2.88,$0.40,1742.1052631578948
48,BSET,9,11/12/2020,05/12/2022,2.3333333333333335,$0.14,971.4285714285713
49,CHNGU,11,12/12/2019,06/14/2022,3.0,$0.75,1.1190508291762171
50,CARR,8,10/29/2020,06/22/2022,3.0,$0.15,50.0
51,LANC,134,03/06/1989,06/08/2022,3.0,$0.80,1394.4444444444446
52,GLW,35,11/13/2013,05/27/2022,3.0,$0.27,20.0
53,MCBS,10,01/30/2020,05/03/2022,3.1,$0.15,20.0
54,IPG,35,11/27/2013,06/03/2022,3.0285714285714285,$0.29,26.66666666666667
55,PSEC,168,03/09/2005,08/26/2022,1.2619047619047619,$0.06,40.0
56,CHX,1,06/30/2022,06/30/2022,2.0,$0.075,0.0
57,WIRE,62,04/03/2007,06/30/2022,2.9838709677419355,$0.02,0.0
58,TPR,3,12/02/2021,06/02/2022,3.0,$0.25,0.0
59,RE,35,12/02/2013,05/24/2022,3.0,$1.65,56.25
60,WMG,7,11/23/2020,05/20/2022,3.0,$0.15,25.0
61,MATW,110,12/23/1994,05/06/2022,3.018181818181818,$0.22,45.45454545454547
62,RGCO,116,07/11/1994,07/14/2022,2.9224137931034484,$0.195,1425.4237288135594
63,EVLMC,72,06/01/2016,01/03/2023,1.0138888888888888,,262.8205128205129
64,PINC,7,11/30/2020,05/31/2022,3.0,$0.20,5.263157894736835
65,ORRF,28,08/05/2015,04/29/2022,2.9642857142857144,$0.19,20.0
66,WSTG,76,07/02/2003,05/13/2022,3.013157894736842,$0.17,10.0
67,SWBI,6,12/16/2020,03/16/2022,3.0,$0.08,60.0
