ABC
EA
DOV
ZTS
ECL
JNJ
TROW
DAL
KEY
LKQ
MSI
DE
HES
WMB
DVA
TGT
CNC
BIO
MNST
CBOE
A
BALL
WM
AMGN
TMUS
VTR
ETN
HAL
DLTR
NDAQ
CMI
LYV
ULTA
IR
MDT
CVS
MMM
CTLT
LOW
CPRT
BBWI
TMO
QCOM
CFG
MTD
MHK
KIM
RHI
WAB
WHR
DLR
ENPH
TECH
PEP
EPAM
IPG
NSC
NEM
ALK
WBD
PAYX
HSIC
EBAY
EMR
VICI
WEC
JCI
BIIB
MCHP
AAPL
VRSK
JNPR
CME
CB
DHI
LMT
LH
AWK
GM
WY
HBAN
BRK-B
TFX
UNH
PSX
EQIX
VLO
PH
PGR
SYF
APD
NFLX
D
DRI
AIG
WDC
DTE
MAS
CNP
AMAT
DRE
BLK
MPWR
COO
RSG
SNPS
NWS
MTCH
EW
AMCR
BXP
TXN
HAS
ROK
MRNA
SYY
GD
PFG
BF-B
EOG
FAST
NLOK
HSY
MS
VZ
AES
FOXA
NEE
XEL
CI
VNO
CCI
FRC
BBY
KLAC
MPC
O
C
OGN
SPGI
CARR
CTRA
BK
DG
DXCM
CDW
ESS
NDSN
ON
MA
FCX
IEX
NKE
ZION
STZ
ALGN
ZBRA
SBAC
CTXS
PWR
T
WFC
ACN
URI
PSA
AJG
AVY
ISRG
SLB
IP
BDX
XYL
KMB
EXPD
TEL
MO
AMT
CMG
HII
TSCO
TT
GE
KEYS
NXPI
ELV
PTC
LRCX
AMP
EVRG
KHC
ANSS
BA
HPE
GIS
ORCL
PHM
BEN
CL
AMZN
FTNT
FTV
TRV
MMC
GILD
EQR
FANG
KMI
RTX
NLSN
HCA
OTIS
FOX
SHW
CMCSA
DIS
HRL
ICE
TFC
ABMD
SBUX
K
PM
CTAS
JPM
MU
VFC
DXC
NI
HUM
GOOG
LDOS
CZR
CDNS
LIN
AME
UAL
NWSA
LEN
YUM
MTB
CAH
TER
PRU
PENN
MAR
LUMN
EMN
IQV
ARE
MRO
TTWO
EIX
IBM
PCAR
JKHY
GLW
HWM
SJM
COST
BAC
UNP
AIZ
JBHT
NCLH
NVDA
PNC
HLT
PKG
J
WBA
APH
NUE
PLD
REG
MGM
KDP
SEE
SIVB
FISV
CVX
CSX
CE
ALL
USB
CAT
SYK
CF
MDLZ
RJF
PEG
TPR
TDG
LNT
ZBH
OMC
GNRC
PYPL
ATVI
PVH
LVS
PPG
RMD
AZO
FMC
CTVA
AFL
DHR
DGX
OXY
DFS
SWK
PPL
NOW
TJX
APTV
BKR
FITB
VRTX
SO
UDR
CHTR
PEAK
CHD
L
XRAY
DOW
ADP
CCL
DISH
RL
CBRE
MKTX
CSCO
KMX
NRG
LUV
STX
CMS
AVB
FE
ROP
CINF
MAA
SEDG
FFIV
FDS
KO
BWA
RCL
NTRS
RF
DD
SWKS
NTAP
SPG
GS
LW
IFF
COP
FBHS
VRSN
WMT
DPZ
ATO
UPS
CPT
SBNY
GRMN
RE
APA
ADBE
MET
BSX
MCD
TRMB
PXD
MOH
QRVO
NVR
TSLA
TDY
WST
AEP
XOM
EXR
MSCI
PG
AON
LLY
AAL
PFE
EFX
COF
CLX
CDAY
ITW
CHRW
BKNG
AAP
POOL
CRM
REGN
WRB
NWL
BMY
KR
TXT
MKC
IRM
EXC
INCY
PNR
BRO
VTRS
STE
UHS
FIS
HOLX
GL
DUK
MCO
WYNN
ORLY
CRL
SCHW
TWTR
TYL
FRT
ADM
CPB
IVZ
IDXX
ANET
PAYC
META
BR
GWW
MSFT
SNA
AMD
AXP
INTU
ADI
AEE
SRE
WTW
HST
NOC
ROL
OKE
ILMN
WELL
ALLE
CAG
MOS
STT
LNC
GPN
MRK
ETSY
EL
ABT
FLT
F
ROST
ETR
HD
IT
GOOGL
AKAM
ADSK
HIG
LHX
ED
PKI
TAP
ALB
TSN
V
EXPE
PNW
AVGO
CMA
ABBV
BAX
INTC
WRK
MCK
AOS
MLM
LYB
GPC
CTSH
DVN
PARA
HPQ
VMC
FDX
ES
ODFL
WAT
CEG
HON
