,tick,num_streak,streak_start_date,streak_end_date,payout_period,lastest_amount,incremental_percentage
0,ABCB,32,09/26/2014,06/29/2022,2.96875,$0.15,100.0
1,JACK,7,12/01/2020,06/06/2022,3.142857142857143,$0.44,10.0
2,OTTR,134,02/09/1989,05/12/2022,3.0,$0.4125,5.769230769230759
3,NRIM,108,06/30/1995,06/08/2022,3.0185185185185186,$0.41,90.0
4,FTAI,27,11/18/2015,05/12/2022,3.0,$0.33,120.0
5,BFST,16,08/14/2018,05/12/2022,3.0,$0.12,25.0
6,PEP,52,09/02/2009,06/02/2022,3.0,$1.15,15.418502202643168
7,GPC,36,09/04/2013,06/02/2022,3.0,$0.895,9.815950920245399
8,IBCP,32,08/01/2014,05/04/2022,3.03125,$0.22,33.33333333333334
9,AZTA,41,12/07/2011,12/02/2021,3.0,$0.10,25.0
10,CCI,33,06/18/2014,06/14/2022,3.0,$1.47,134.2857142857143
11,RRR,2,03/14/2022,06/15/2022,3.5,$0.25,0.0
12,PFBC,30,01/02/2015,04/06/2022,3.0,$0.43,26.66666666666667
13,TXN,86,01/29/2001,05/06/2022,3.011627906976744,$1.15,100.0
14,RWAY,2,03/07/2022,05/09/2022,3.0,$0.30,11.1111111111111
15,CBTX,18,03/29/2018,06/28/2022,3.0,$0.13,100.0
16,LKQ,2,03/02/2022,05/18/2022,3.0,$0.25,0.0
17,OXLCO,11,10/14/2021,08/16/2022,1.0,$0.125,0.0
18,RSG,38,12/30/2013,06/30/2022,2.763157894736842,$0.46,8.695652173913047
19,HRZN,123,08/19/2011,08/17/2022,1.0975609756097562,$0.10,50.0
20,RPRX,7,11/19/2020,05/19/2022,2.857142857142857,$0.19,13.333333333333343
21,FBMS,45,05/10/2011,05/09/2022,3.0,$0.18,40.0
22,OTEX,36,08/28/2013,06/02/2022,3.0277777777777777,$0.2209,15.94202898550725
23,CCBG,33,06/05/2014,06/03/2022,3.0,$0.16,50.0
24,GAINZ,5,01/13/2022,01/12/2023,3.0,$0.3046875,23.287669569987173
25,EQBK,2,12/30/2021,03/30/2022,3.0,$0.08,0.0
26,GPRE,23,11/26/2013,05/23/2019,2.9565217391304346,$0.12,100.0
27,AMT,36,09/19/2013,06/16/2022,3.0,$1.43,10.526315789473685
28,DGX,36,09/27/2013,07/05/2022,3.0277777777777777,$0.66,15.151515151515142
29,NWE,69,06/13/2005,06/14/2022,3.0,$0.63,24.0
30,CSQ,213,07/13/2004,06/10/2022,1.0140845070422535,$0.1025,38.82926829268294
31,DALN,47,08/10/2011,08/11/2022,2.872340425531915,$0.16,2712.5
32,ATRI,78,11/26/2003,06/14/2022,2.8846153846153846,$1.95,1685.7142857142856
33,UPS,35,11/14/2013,05/13/2022,3.0,$1.52,49.019607843137265
34,OBT,3,12/02/2021,06/01/2022,3.0,$0.20,0.0
35,OZK,98,01/07/1998,04/13/2022,3.0,$0.31,66.66666666666669
36,CNOB,97,04/15/1998,05/13/2022,3.020618556701031,$0.155,83.33333333333334
37,PTVE,5,05/27/2021,05/27/2022,3.0,$0.10,0.0
38,WHF,41,03/20/2013,06/16/2022,2.7804878048780486,$0.355,228.7037037037037
39,SSSSL,1,06/14/2022,06/14/2022,3.0,$0.375,-13.454881144703435
40,GLPI,35,03/05/2014,06/09/2022,2.8857142857142857,$0.705,187.5
41,HQI,7,11/30/2020,05/31/2022,3.0,$0.06,20.0
42,CLAR,6,02/05/2021,05/06/2022,3.0,$0.025,0.0
43,CHSCN,32,09/12/2014,06/16/2022,3.0,$0.44375,0.0
44,CPHC,2,03/30/2022,06/29/2022,2.5,$0.07,0.0
45,AROW,115,11/24/1993,05/31/2022,2.991304347826087,$0.27,37.5
46,FBIZ,66,03/29/2006,05/06/2022,2.984848484848485,$0.1975,100.0
47,EXC,89,10/23/2000,05/12/2022,2.932584269662921,$0.3375,160.20583190394512
48,VRTS,32,10/29/2014,07/28/2022,3.0,$1.50,82.92682926829269
49,ONB,81,05/30/2002,05/31/2022,3.0,$0.14,28.571428571428555
50,FSTR,22,06/08/2011,09/07/2016,3.0,$0.04,33.33333333333334
51,LYB,37,09/19/2013,06/03/2022,2.945945945945946,$6.39,1400.0
52,HNRG,29,12/12/2012,01/30/2020,3.0689655172413794,$0.04,0.0
53,GE,36,09/19/2013,06/27/2022,3.0,$0.08,700.0
54,VLY,52,09/02/2009,06/14/2022,3.0,$0.11,1.4210854715202004e-14
55,MNSB,1,05/04/2022,05/04/2022,3.0,$0.05,0.0
56,CGO,194,02/09/2006,06/10/2022,1.0206185567010309,$0.10,56.099999999999994
57,SALM,32,06/13/2012,03/23/2020,3.0,$0.025,42.85714285714283
58,PARAA,65,06/01/2006,06/14/2022,3.0153846153846153,$0.24,100.0
59,GOODO,11,08/20/2021,06/21/2022,1.0,$0.125,0.0
60,WEN,67,11/03/2005,05/31/2022,3.0,$0.125,100.0
61,JJSF,70,03/11/2005,06/16/2022,3.0,$0.633,100.0
62,CF,35,11/13/2013,05/13/2022,3.0,$0.40,150.0
63,FMBH,6,02/18/2021,05/17/2022,3.0,$0.22,7.317073170731717
64,KINS,43,11/28/2011,05/27/2022,3.0,$0.04,33.33333333333334
65,TXRH,4,09/07/2021,06/07/2022,3.25,$0.46,15.0
66,CRWS,7,12/10/2020,06/16/2022,3.0,$0.08,437.5
67,WDC,30,12/12/2012,04/02/2020,3.033333333333333,$0.50,33.33333333333334
68,SCHL,55,10/29/2008,04/28/2022,3.0,$0.15,33.33333333333334
69,RCL,27,09/20/2013,03/05/2020,3.037037037037037,$0.78,108.33333333333334
70,OCC,20,02/02/2011,10/28/2015,2.95,$0.02,50.0
71,HTLD,75,12/18/2003,06/24/2022,3.0,$0.02,10000.0
