,tick,num_streak,streak_start_date,streak_end_date,payout_period,lastest_amount,incremental_percentage,number_survive_proof,latest_survive_streak,number_survive_years
872,SELF,26,03/11/2016,06/14/2022,2.8846153846153846,0.065,0.0,1,2016,6
873,FSBC,4,07/12/2021,05/06/2022,2.5,0.15,0.0,0,2021,1
874,EBIX,33,05/28/2014,06/02/2022,3.0303030303030303,0.075,0.0,1,2014,11
875,ACNB,57,05/28/2008,05/31/2022,3.0,0.26,15.0,2,2008,24
876,TSCO,50,03/11/2010,05/24/2022,2.92,0.92,76.9230769230769,1,2010,12
877,ALGT,22,03/02/2015,02/28/2020,2.8181818181818183,0.7,450.0,1,2015,12
878,FHB,23,11/23/2016,05/20/2022,2.869565217391304,0.26,10.0,1,2016,6
879,CCMP,24,06/21/2016,03/22/2022,3.0,0.46,100.0,1,2016,10
880,SBSI,64,08/29/2006,05/18/2022,3.0,0.34,165.0,2,2006,24
881,FBHS,36,08/27/2013,05/26/2022,2.9166666666666665,0.28,20.0,1,2013,9
882,SIRI,22,02/03/2017,05/05/2022,3.0,0.0219615,1138.3557589417846,1,2017,0
883,AATC,5,05/07/2021,05/20/2022,2.4,0.12,0.0,0,2021,1
884,CATY,126,01/07/1991,05/26/2022,2.984126984126984,0.34,400.0,3,1991,31
885,ALOT,117,05/10/1991,03/25/2020,2.9572649572649574,0.07,50.0,3,1991,31
886,OXLCZ,4,03/14/2022,12/14/2022,2.25,0.3125,15.384616804733753,0,2022,0
887,XEL,45,06/21/2011,06/14/2022,3.0,0.4875,7.142857142857139,1,2011,22
888,A,37,06/28/2013,07/01/2022,2.945945945945946,0.21,15.0,1,2013,9
889,AJG,36,08/30/2013,06/02/2022,2.9444444444444446,0.51,6.666666666666657,1,2013,9
890,TOWN,62,03/29/2007,06/29/2022,3.0,0.23,15.0,2,2007,19
891,SHEN,1,11/05/2021,11/05/2021,3.0,0.07,-99.62666666666667,0,2021,22
892,FITB,135,12/23/1988,06/29/2022,2.977777777777778,0.3,500.0,4,1988,34
893,BCBP,61,04/20/2007,04/29/2022,2.9836065573770494,0.16,20.0,2,2007,16
894,COWN,10,02/28/2020,05/31/2022,2.7,0.12,100.0,1,2020,2
895,AIMC,41,06/14/2012,06/16/2022,2.926829268292683,0.09,50.0,1,2012,10
896,VNOM,31,11/19/2014,05/11/2022,2.903225806451613,0.67,233.33333333333337,1,2014,8
897,PPL,37,06/06/2013,06/17/2022,2.918918918918919,0.225,12.5,1,2013,9
898,NUE,37,06/26/2013,06/29/2022,2.918918918918919,0.5,23.456790123456784,1,2013,9
899,LINC,17,12/13/2010,12/11/2014,2.823529411764706,0.02,0.0,0,2010,12
900,CASY,129,07/26/1990,07/29/2022,2.9767441860465116,0.38,40.0,4,1990,32
901,EL,7,11/27/2020,05/27/2022,3.0,0.6,13.20754716981132,1,2020,9
902,VLGEA,66,03/28/2006,07/06/2022,3.015151515151515,0.25,971.4285714285713,2,2006,34
903,PCH,52,03/03/2010,06/02/2022,2.8846153846153846,0.44,809.0909090909091,1,2010,22
904,UTMD,72,09/14/2004,06/16/2022,3.0,0.29,601.7543859649123,2,2004,29
905,BLKB,61,02/10/2005,02/27/2020,2.9508196721311477,0.12,40.0,2,2005,17
