,tick,num_streak,streak_start_date,streak_end_date,payout_period,lastest_amount,incremental_percentage
0,INDB,111,12/19/1994,06/24/2022,2.990990990990991,$0.51,25.0
1,BPRN,14,02/07/2019,05/05/2022,3.0,$0.25,233.33333333333337
2,IRM,37,09/23/2013,06/14/2022,2.918918918918919,$0.618,86.27450980392157
3,EVRG,16,08/28/2018,05/19/2022,3.0,$0.572,15.0
4,MRBK,8,11/06/2020,05/13/2022,2.625,$0.20,700.0
5,OBCI,8,09/08/2020,06/07/2022,3.0,$0.04,50.0
6,RMBI,9,09/02/2020,06/01/2022,2.6666666666666665,$0.10,614.2857142857142
7,EIX,35,09/26/2013,03/30/2022,3.0,$0.70,17.464788732394354
8,AVGO,46,03/16/2011,06/21/2022,3.0,$4.10,100.0
9,ISSC,1,12/18/2020,12/18/2020,3.0,$0.50,-23.07692307692308
10,COLM,5,05/12/2021,05/18/2022,2.8,$0.30,15.384615384615387
11,SYBT,71,12/15/2004,06/16/2022,3.0,$0.28,10.0
12,SYPR,11,06/18/2012,12/17/2014,3.0,$0.02,0.0
13,ADES,11,08/17/2017,02/20/2020,2.909090909090909,$0.25,0.0
14,HLNE,20,09/14/2017,06/14/2022,3.0,$0.40,29.411764705882376
15,WMB,36,09/11/2013,06/09/2022,3.0,$0.425,50.0
16,LIVE,3,01/12/2005,07/12/2005,3.3333333333333335,$0.01,0.0
17,MRK,35,12/12/2013,06/14/2022,3.0,$0.69,14.583333333333357
18,AMOT,43,11/14/2011,05/18/2022,3.0,$0.025,25.0
19,ACTG,10,07/30/2013,11/04/2015,3.0,$0.125,0.0
20,SFBC,36,08/09/2013,05/09/2022,3.0,$0.17,200.0
21,GECC,55,01/27/2017,06/22/2022,1.2,$0.45,500.0
22,FUSB,31,12/10/2014,06/09/2022,3.0,$0.03,100.0
23,LCNB,86,02/27/2001,05/31/2022,2.988372093023256,$0.20,11.111111111111114
24,ALLE,33,06/12/2014,06/15/2022,3.0,$0.41,33.33333333333334
25,PKG,36,09/11/2013,06/14/2022,3.0,$1.25,37.5
26,RTLR,10,03/02/2020,05/12/2022,3.0,$0.30,25.0
27,MOFG,56,08/27/2008,05/31/2022,3.0,$0.2375,41.666666666666686
28,UNP,35,11/29/2013,05/27/2022,3.0,$1.30,15.189873417721515
29,BUSE,94,01/14/1999,04/21/2022,3.0,$0.23,240.0
30,CCLP,43,10/28/2011,04/28/2022,3.0,$0.01,724.468085106383
31,LUV,26,12/10/2013,03/03/2020,3.0384615384615383,$0.18,50.0
32,MA,36,10/07/2013,07/07/2022,3.0,$0.49,83.33333333333334
33,ASTE,36,08/09/2013,05/12/2022,3.0,$0.12,10.0
34,BFIN,33,08/11/2014,05/12/2022,2.909090909090909,$0.10,100.0
35,CSPI,5,02/27/2019,02/27/2020,2.6,$0.15,0.0
36,AOS,35,10/29/2013,04/28/2022,3.0,$0.28,28.571428571428555
37,NI,36,10/29/2013,07/28/2022,3.0,$0.235,11.42857142857143
38,GAINN,7,07/14/2021,01/12/2023,3.0,$0.3125,52.54237370870439
39,KLIC,16,09/26/2018,06/22/2022,3.0,$0.17,21.428571428571416
40,LW,21,04/26/2017,05/05/2022,3.0476190476190474,$0.245,15.0
