,tick,num_streak,streak_start_date,streak_end_date,payout_period,lastest_amount,incremental_percentage,number_survive_proof,latest_survive_streak,number_survive_years
780,TRIP,1,11/19/2019,11/19/2019,0.0,3.5,0.0,0,2019,3
781,COFS,10,03/12/2020,06/14/2022,2.7,0.25,13.63636363636364,1,2020,2
782,OXSQZ,13,07/12/2019,07/14/2022,2.769230769230769,0.390625,0.0,1,2019,3
783,TAYD,1,12/04/1989,12/04/1989,0.0,0.02,0.0,0,1989,33
784,FFWM,14,02/28/2019,05/05/2022,2.7857142857142856,0.11,40.0,1,2019,3
785,GCBC,59,11/13/2007,05/12/2022,3.0,0.13,114.2857142857143,2,2007,22
786,JJSF,71,12/13/2004,06/16/2022,2.9577464788732395,0.633,100.0,2,2004,18
787,VINP,4,08/31/2021,05/23/2022,2.25,0.17,25.0,0,2021,1
788,LGND,1,04/03/2007,04/03/2007,0.0,2.5,0.0,0,2007,15
789,BHFAM,2,03/09/2022,06/09/2022,1.5,0.2890625,0.0,0,2022,0
790,SSSS,10,10/02/2020,03/24/2022,1.9,0.11,900.0,1,2020,6
791,DGICB,63,10/30/2006,04/29/2022,3.0,0.1475,19.354838709677423,2,2006,34
792,HNNA,37,05/22/2013,05/20/2022,3.027027027027027,0.1375,33.33333333333334,1,2013,0
793,ISAA,5,07/07/2021,07/07/2022,2.4,0.05,0.0,0,2021,1
794,BELFA,77,07/11/2003,07/14/2022,2.961038961038961,0.06,50.0,2,2003,19
795,MKSI,46,02/25/2011,05/26/2022,2.9347826086956523,0.22,11.111111111111114,1,2011,11
