,tick,num_streak,streak_start_date,streak_end_date,payout_period,lastest_amount,incremental_percentage
0,PAYX,35,10/30/2013,05/11/2022,3.0285714285714285,$0.79,19.69696969696969
1,ABBV,35,10/10/2013,04/13/2022,3.0,$1.41,35.21126760563382
2,COLB,71,11/08/2004,05/03/2022,3.0,$0.30,200.0
3,BMRC,68,11/17/2005,05/05/2022,2.9558823529411766,$0.24,12900.0
4,ZIONO,36,08/28/2013,05/31/2022,3.0,$0.39375,1.1108571428571423
5,SBLK,4,08/20/2021,06/02/2022,3.25,$1.65,133.33333333333334
6,XPER,40,08/21/2012,05/27/2022,3.0,$0.05,520.0
7,CBAN,21,05/31/2017,05/05/2022,3.0,$0.1075,100.0
8,AMP,35,11/07/2013,05/06/2022,3.0,$1.25,15.517241379310349
9,GM,24,06/06/2014,03/05/2020,3.0,$0.38,20.0
10,LECO,87,12/27/2000,06/29/2022,2.9655172413793105,$0.56,26.08695652173911
11,HCSG,75,10/29/2003,05/19/2022,2.986666666666667,$0.2125,16.666666666666686
12,CPZ,29,02/13/2020,06/10/2022,1.0344827586206897,$0.14,160.66350710900474
13,MU,2,12/31/2021,04/08/2022,3.5,$0.10,0.0
14,KMB,35,12/04/2013,06/09/2022,3.0,$1.16,6.542056074766336
15,HBANM,4,11/12/2021,08/12/2022,3.0,$0.35625,0.0
16,COFS,9,06/12/2020,06/14/2022,3.0,$0.25,13.63636363636364
17,WDFC,136,01/04/1989,07/14/2022,2.9779411764705883,$0.78,77.77777777777777
18,AMSF,40,06/10/2013,06/16/2022,2.775,$0.31,2000.0
19,FCNCO,1,05/27/2022,05/27/2022,3.0,$0.351563,0.0
20,KEY,35,11/29/2013,05/27/2022,3.0,$0.195,41.666666666666686
21,BIOL,5,10/08/2004,06/24/2005,2.0,$0.01,0.0
22,EBAY,13,05/30/2019,05/31/2022,3.0,$0.22,22.22222222222223
23,MGI,13,12/14/2004,12/12/2007,3.0,$0.05,300.0
24,CPB,36,10/04/2013,07/06/2022,3.0,$0.37,12.179487179487182
25,PAA,72,07/30/2004,04/28/2022,3.0,$0.2175,20.833333333333343
26,OLED,21,06/13/2017,06/15/2022,3.0,$0.30,100.0
27,STT,35,12/30/2013,06/30/2022,3.0,$0.57,15.384615384615387
28,CINF,106,09/11/1996,06/16/2022,2.943396226415094,$0.69,12.359550561797747
29,ARKO,1,05/27/2022,05/27/2022,2.0,$0.02,0.0
30,ARE,36,09/26/2013,06/29/2022,3.0,$1.18,4.651162790697683
31,DCOM,93,03/29/1999,04/14/2022,3.010752688172043,$0.24,215.0
32,FCBC,53,07/09/2009,05/05/2022,2.9622641509433962,$0.27,166.66666666666669
33,RF,35,12/11/2013,06/02/2022,3.0,$0.17,66.66666666666669
34,WAB,35,11/13/2013,05/19/2022,3.0,$0.15,50.0
35,SFNC,116,09/09/1993,06/14/2022,3.0,$0.19,20.0
36,RBB,13,05/01/2019,04/29/2022,2.923076923076923,$0.14,50.0
37,NOC,36,08/29/2013,05/27/2022,3.0,$1.73,14.754098360655746
38,SPFI,11,10/25/2019,04/29/2022,3.0,$0.11,66.66666666666669
39,NATH,16,09/07/2018,06/16/2022,3.0,$0.45,40.0
40,NWFL,87,01/11/2001,07/14/2022,3.0,$0.28,17.647058823529406
41,BAX,35,12/04/2013,06/02/2022,3.0,$0.29,23.076923076923066
42,XOM,36,11/07/2013,05/12/2022,2.9166666666666665,$0.88,9.523809523809518
43,BHFAM,1,06/09/2022,06/09/2022,3.0,$0.2890625,-26.82925285785163
44,JAKK,7,12/13/2011,06/12/2013,3.0,$0.07,0.0
45,TRIN,5,06/29/2021,06/29/2022,3.0,$0.57,52.7777777777778
46,HCKT,8,09/24/2020,06/23/2022,3.0,$0.11,10.0
47,FDBC,18,02/15/2018,05/19/2022,3.0,$0.33,10.0
48,GECCO,5,12/14/2021,12/14/2022,3.0,$0.371267,1.1236326382233415
49,III,4,09/03/2021,06/02/2022,3.0,$0.04,33.33333333333334
50,ICMB,34,06/12/2014,06/16/2022,2.911764705882353,$0.15,86.25827814569536
51,UNH,35,12/04/2013,06/16/2022,3.0,$1.65,33.928571428571416
52,PLPC,36,09/27/2013,06/30/2022,3.0,$0.20,0.0
53,JNPR,31,11/28/2014,05/31/2022,3.0,$0.21,80.0
54,NRG,35,10/30/2013,04/29/2022,3.0,$0.35,900.0
55,MSFT,72,11/15/2004,08/17/2022,3.0,$0.62,3750.0
56,AHPI,2,03/27/1996,06/26/1996,3.0,$0.07,0.0
57,CENX,24,12/12/1996,09/18/2002,3.0,$0.05,0.0
58,DGICA,63,10/30/2006,04/29/2022,3.0,$0.165,16.66666666666667
59,MPWR,32,09/26/2014,06/29/2022,3.0,$0.75,50.0
60,AAL,22,10/30/2014,02/04/2020,3.0454545454545454,$0.10,0.0
61,GILT,1,01/08/2021,01/08/2021,2.0,$0.63,75.0
62,HIHO,2,11/01/2021,03/07/2022,3.0,$0.05,0.0
63,HBAN,132,03/07/1989,06/16/2022,3.0,$0.155,300.0
64,HAS,88,01/30/2001,07/29/2022,2.965909090909091,$0.70,100.0
65,EMN,35,12/12/2013,06/14/2022,3.0,$0.76,16.66666666666667
66,LEN,35,10/16/2013,04/25/2022,3.0,$0.375,212.5
67,BCML,1,06/16/2022,06/16/2022,3.0,$0.05,0.0
68,ASRV,36,08/01/2013,05/06/2022,3.0,$0.03,50.0
69,SYK,35,12/27/2013,06/29/2022,3.0,$0.695,15.094339622641499
70,OFLX,21,09/21/2017,06/23/2022,2.857142857142857,$0.32,1149.9999999999998
71,SIGI,134,02/09/1989,05/13/2022,3.0,$0.28,15.78947368421052
72,IMBIL,2,03/14/2022,06/14/2022,3.0,$0.53125,0.0
73,XRAY,111,12/22/1994,06/23/2022,3.0,$0.125,16.666666666666686
74,ILPT,16,07/27/2018,04/22/2022,3.0,$0.33,22.222222222222214
75,ARCC,70,03/03/2005,06/14/2022,3.0,$0.45,25.0
76,MLM,36,08/29/2013,05/31/2022,3.0,$0.61,14.583333333333357
77,KR,36,11/13/2013,05/12/2022,2.9166666666666665,$0.21,224.99999999999994
78,KALU,59,10/24/2007,04/22/2022,3.0,$0.77,33.33333333333334
79,OXBR,12,11/13/2014,09/21/2017,3.0833333333333335,$0.12,0.0
80,BFC,14,03/22/2019,06/21/2022,3.0,$0.22,138.0952380952381
81,OTIS,8,08/20/2020,05/19/2022,3.0,$0.29,20.83333333333333
82,WWD,101,05/07/1997,05/16/2022,3.00990099009901,$0.19,100.0
83,WM,36,09/04/2013,06/02/2022,3.0,$0.65,13.043478260869577
84,VICI,17,06/27/2018,06/22/2022,3.0,$0.36,63.75000000000003
85,DG,29,06/15/2015,07/01/2022,3.0,$0.55,30.952380952380963
86,SMBK,10,02/06/2020,05/12/2022,3.0,$0.07,20.0
87,GIPR,8,11/12/2021,06/14/2022,1.0,$0.054,1.4210854715202004e-14
88,CTG,14,06/12/2013,09/22/2016,3.0,$0.06,20.0
89,TAP,3,12/02/2021,06/02/2022,3.3333333333333335,$0.38,11.764705882352928
90,SHBI,27,11/12/2015,05/12/2022,3.0,$0.12,66.66666666666669
91,NDAQ,40,09/12/2012,06/09/2022,3.0,$0.60,66.66666666666669
92,ARCB,77,05/05/2003,05/10/2022,3.0,$0.12,100.0
93,ZEUS,65,05/30/2006,05/31/2022,3.0,$0.09,2525.0
94,YORW,94,03/11/1999,06/29/2022,3.0,$0.1949,7.692307692307693
95,NMFC,48,09/13/2011,06/15/2022,2.7083333333333335,$0.30,183.33333333333337
96,HWC,101,06/03/1997,06/03/2022,3.0,$0.27,100.0
97,NXST,37,05/15/2013,05/12/2022,3.0,$0.90,28.571428571428584
98,KRNY,29,11/30/2015,05/10/2022,2.7586206896551726,$0.11,300.0
99,CTSH,20,08/18/2017,05/19/2022,3.0,$0.27,33.33333333333334
100,PWR,14,04/04/2019,06/30/2022,3.0,$0.07,25.0
101,ORCL,36,10/04/2013,07/11/2022,3.0,$0.32,33.33333333333334
102,DOOO,6,04/01/2021,06/29/2022,3.0,$0.16,26.020391058698266
103,OCCI,27,11/08/2018,06/10/2022,1.5925925925925926,$0.55,199.88465974625143
104,MSVB,14,02/14/2019,05/12/2022,3.0,$0.04,50.0
105,SBFG,37,05/08/2013,05/12/2022,2.972972972972973,$0.12,20.0
106,PTEN,72,08/12/2004,06/01/2022,3.013888888888889,$0.04,100.0
107,BK,35,10/24/2013,04/27/2022,3.0,$0.34,26.315789473684205
108,WEC,35,11/12/2013,05/12/2022,3.0,$0.728,8.461538461538453
109,OXLCM,61,08/15/2017,08/16/2022,1.0,$0.140625,0.0
110,VBNK,3,01/06/2022,07/07/2022,3.3333333333333335,$0.025,24.85547978215216
111,FFBC,84,09/05/2001,05/31/2022,3.0,$0.23,125.0
112,RILYM,10,07/14/2020,10/13/2022,3.0,$0.3984375,15.384615384615373
113,STGW,13,08/02/2013,08/08/2016,3.0,$0.21,41.176470588235276
114,MGEE,134,02/23/1989,05/31/2022,3.0,$0.3875,4.964539007092199
115,GLNG,24,09/11/2013,06/12/2019,3.0,$0.15,150.0
116,CGNX,29,09/02/2015,05/19/2022,2.8620689655172415,$0.065,3233.3333333333335
117,ISAA,3,10/07/2021,04/07/2022,3.0,$0.05,0.0
