,tick,num_streak,streak_start_date,streak_end_date,payout_period,lastest_amount,incremental_percentage
80,LOB,27,12/28/2015,05/27/2022,2.962962962962963,$0.03,100.0
81,SBCF,4,09/14/2021,06/14/2022,3.0,$0.17,30.769230769230774
82,LSBK,62,01/31/2007,05/06/2022,3.0,$0.16,75.00000000000003
83,DLR,35,12/11/2013,06/14/2022,3.0,$1.22,8.602150537634401
84,AGYS,83,01/05/1989,07/16/2009,3.0,$0.03,16.666666666666686
85,WELL,17,05/07/2018,05/23/2022,3.0,$0.61,0.0
86,HOPE,38,02/06/2013,04/27/2022,3.0,$0.14,50.0
87,COWNL,17,11/29/2018,11/30/2022,3.0,$0.484375,0.0
88,PWOD,96,03/05/1999,06/06/2022,2.9375,$0.32,126.66666666666669
89,NICK,9,12/09/2011,09/18/2013,2.6666666666666665,$0.12,1566.6666666666667
90,STRR,19,02/12/2014,08/15/2018,3.0,$0.055,10.0
91,GABC,109,10/18/1995,05/09/2022,2.9541284403669725,$0.23,27.272727272727295
92,TGT,36,11/18/2013,08/16/2022,3.0,$1.08,32.35294117647058
93,GEGGL,5,12/14/2022,12/14/2023,3.0,$0.45816,1.1247740409292675
94,TFX,36,11/13/2013,05/13/2022,2.9166666666666665,$0.34,-1.4210854715202004e-14
95,HSII,36,07/31/2013,05/05/2022,3.0,$0.15,15.384615384615387
96,NECB,4,10/22/2021,05/13/2022,2.5,$0.18,200.0
97,HWM,3,11/04/2021,05/05/2022,3.0,$0.02,0.0
98,WYNN,37,07/26/2011,02/25/2020,2.864864864864865,$1.00,1500.0
99,QUMU,6,06/28/2011,08/29/2012,2.8333333333333335,$0.17,70.0
100,FFNW,36,09/04/2013,06/02/2022,3.0277777777777777,$0.12,25.0
101,DOV,35,11/26/2013,05/27/2022,3.0,$0.50,6.818181818181813
102,HONE,7,10/13/2020,04/12/2022,3.0,$0.07,66.66666666666669
103,AME,35,12/04/2013,06/09/2022,3.0,$0.22,55.55555555555557
104,DHI,33,05/13/2014,05/06/2022,3.0,$0.225,65.78947368421052
105,ULH,6,02/26/2021,06/03/2022,3.0,$0.105,0.0
106,WASH,122,06/26/1992,06/30/2022,2.9754098360655736,$0.54,13.63636363636364
107,EFX,36,11/20/2013,05/24/2022,2.9166666666666665,$0.39,18.181818181818173
108,SABR,22,12/11/2014,03/19/2020,3.0454545454545454,$0.14,44.44444444444446
109,PWP,3,12/02/2021,05/18/2022,2.6666666666666665,$0.07,0.0
110,BSY,6,03/09/2021,06/08/2022,3.0,$0.03,0.0
111,TCBK,116,09/13/1993,06/09/2022,3.0,$0.25,30.0
112,AVB,36,09/26/2013,06/29/2022,3.0,$1.59,8.411214953271013
113,ROCK,39,06/14/1999,12/30/2008,3.0256410256410255,$0.05,20.0
114,HRL,36,10/17/2013,07/08/2022,3.0,$0.26,25.0
115,PRGS,22,02/27/2017,05/31/2022,3.0,$0.175,12.000000000000014
116,TWIN,61,11/08/2000,11/10/2015,3.0,$0.09,27.272727272727295
117,DOX,39,12/27/2012,06/29/2022,3.0,$0.395,19.230769230769226
118,HST,1,06/29/2022,06/29/2022,3.0,$0.06,100.0
119,ESGRO,13,05/14/2019,05/12/2022,3.0,$0.4375,0.0
120,DRI,6,01/07/2021,04/07/2022,3.0,$1.10,137.83783783783784
121,SNA,35,11/20/2013,05/19/2022,3.0,$1.42,20.454545454545453
122,KO,35,11/27/2013,06/14/2022,3.0,$0.44,8.928571428571416
123,HSY,35,11/21/2013,05/19/2022,3.0,$0.901,12.06467661691542
124,OCCIN,13,01/21/2022,01/23/2023,1.0,$0.109375,30.434792978666763
125,HEES,31,11/20/2014,05/26/2022,3.0,$0.275,10.000000000000014
126,MTB,36,08/29/2013,05/31/2022,3.0,$1.20,25.0
127,OP,1,06/13/2022,06/13/2022,3.0,$0.01,-80.0
128,NEE,35,11/26/2013,05/27/2022,3.0,$0.425,12.988505747126439
129,PFX,31,08/30/2011,02/21/2019,3.0,$0.05,31.25
130,PFXNL,36,09/11/2013,06/14/2022,3.0,$0.382813,0.00013061224490229506
131,TANNI,18,06/28/2018,09/29/2022,3.0,$0.515625,0.0
132,CI,5,06/07/2021,06/07/2022,3.0,$1.12,12.000000000000014
133,UNB,86,01/10/2001,04/28/2022,3.0,$0.35,166.66666666666669
134,UFPI,10,02/27/2020,05/31/2022,3.0,$0.25,33.33333333333334
135,AES,35,10/30/2013,04/28/2022,3.0,$0.158,100.0
136,INTC,118,01/26/1993,05/05/2022,3.0084745762711864,$0.365,100.0
137,HWBK,2,12/14/2021,03/14/2022,3.0,$0.15,0.0
138,NTAP,36,10/17/2013,07/07/2022,3.0,$0.50,100.0
139,OXSQ,104,06/08/2004,09/15/2022,2.1346153846153846,$0.035,200.0
140,TEL,36,11/26/2013,08/18/2022,3.0,$0.56,15.999999999999986
141,DTE,35,12/12/2013,06/16/2022,3.0,$0.885,7.2727272727272805
142,PFC,42,02/13/2012,05/05/2022,3.0,$0.30,100.0
143,LLY,35,11/13/2013,05/13/2022,3.0,$0.98,15.294117647058826
144,MLAB,74,02/26/2004,05/27/2022,3.0,$0.16,433.33333333333337
145,WSFS,96,08/03/1998,05/05/2022,3.0,$0.13,33.33333333333334
146,TRV,35,12/06/2013,06/09/2022,3.0,$0.93,10.909090909090907
147,MGPI,23,11/09/2016,05/19/2022,3.0,$0.12,2125.0
148,JOUT,35,01/07/2014,07/13/2022,3.0,$0.30,42.85714285714286
149,TFSL,31,12/03/2014,06/06/2022,3.0,$0.2825,47.05882352941177
150,SASR,104,09/05/1996,05/10/2022,2.9903846153846154,$0.34,700.0
151,APTV,9,02/02/2018,02/04/2020,2.888888888888889,$0.22,0.0
152,SLP,36,08/08/2013,04/22/2022,2.9722222222222223,$0.06,33.33333333333334
153,ATLO,83,07/30/2002,07/29/2022,2.9036144578313254,$0.27,118.18181818181819
