HNRG
DAX
ONCS
AGLE
AYRO
UBOH
BSCS
BBLG
MICT
CMCT
XERS
LARK
AOSL
PEBO
KRON
EGLX
THFF
ETACU
BFC
LFAC
HEAR
CSF
BCPC
MGEE
MNST
PEZ
RBB
ITAQ
EXPO
GLYC
NRIX
CFIV
FARM
HYMCL
JSML
SLM
SYM
AREC
MNTX
GTAC
SMLR
FTXL
EBET
OSTK
DVY
AMST
GLAD
QUMU
BHFAO
MGYR
YNDX
MANH
KRNLU
MSSAU
ITCI
SQFT
CFVI
AXGN
VCKAU
BGRY
EXLS
FEX
VRRM
ULTA
MRTX
FORTY
STAA
WALD
ZI
SCVL
TCBI
OLLI
YI
FBIZ
MINM
VIVK
ANAB
BPTS
ESOA
RVPH
CRUS
LMNL
XFINU
ZINGU
TOUR
PME
DHCA
FGMC
IBTL
MANT
CNET
IBOC
MITK
BANR
SEV
APM
MYGN
SFET
CATY
AVDL
GIACU
RCEL
NDACU
XPDB
GDNR
PBTS
BTOG
NVEC
PBLA
PSAG
RDWR
GVCIU
FBZ
VIVE
VG
STER
SLGL
RVAC
CLBS
LE
MBWM
TBLD
ICAD
JAN
SOCL
CNXA
IESC
SHY
SPRX
BIIB
HOPE
TLIS
ENTA
GVP
MLACU
MCHP
RCACU
KSICU
GLUE
AAPL
AVT
ZVO
PULM
LUXA
FPXE
FYC
HNNA
NBSE
ZY
DOYU
ERES
PETQ
SWEB
GLBL
ITAQU
MOFG
BZFD
PTCT
ARTW
HBAN
MREO
TGAN
PTPI
XOMA
SPC
HITI
UBX
CHI
ALTO
INMD
CNTQ
NVIV
VRNT
ONDS
MNPR
HOOK
HMCO
BICK
ALLO
VTSI
SHCAU
TWOU
GRTX
DCFC
TOMZ
ANGN
CLOU
UPTD
HLMN
NXTG
PTEN
BLBD
TBLA
SJ
LXEH
AVTE
DECA
TRIN
ATNI
JOFFU
ASPU
CSII
TRS
TYME
PTRA
MBTC
CCCC
REVE
MACA
VPN
PAGP
SMTC
NCTY
ACVA
SCHN
KRMD
ASMB
MLAI
VERU
LATG
MSSA
RNLC
SIGI
SCHL
DOCU
SVRE
REPL
OMEG
PDBC
TENB
KELYB
AVCT
BBIG
LAXXU
YY
PHO
RNSC
PRAX
TWNK
XTLB
MRAI
CDEV
NOVT
NNOX
HTIA
VGSH
